true_positive,false_negative,false_positive,class_confusion,fn_percent,fp_percent,cc_percent,error_rate,case_id,slice_idx
957,21,57,0,26.923076923076923,73.07692307692308,0.0,7.536231884057971,case_00079,175
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,487
2979,13,200,49,4.961832061068702,76.33587786259542,18.702290076335878,8.08392471459426,case_00115,322
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,72
1215,92,88,0,51.111111111111114,48.888888888888886,0.0,12.903225806451612,case_00154,198
0,0,0,0,0.0,0.0,0.0,0.0,case_00134,484
499,4,104,0,3.7037037037037037,96.29629629629629,0.0,17.792421746293247,case_00203,354
0,0,47,0,0.0,100.0,0.0,100.0,case_00125,391
0,0,0,0,0.0,0.0,0.0,0.0,case_00134,508
1889,99,90,0,52.38095238095238,47.61904761904762,0.0,9.095283926852742,case_00154,174
0,0,107,0,0.0,100.0,0.0,100.0,case_00125,253
0,0,0,0,0.0,0.0,0.0,0.0,case_00125,511
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,28
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,11
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,467
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,302
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,47
0,0,54,0,0.0,100.0,0.0,100.0,case_00086,280
348,7,33,0,17.5,82.5,0.0,10.309278350515465,case_00079,215
128,10,61,0,14.084507042253522,85.91549295774648,0.0,35.678391959798994,case_00079,461
0,0,0,0,0.0,0.0,0.0,0.0,case_00086,233
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,228
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,67
0,0,149,0,0.0,100.0,0.0,100.0,case_00194,318
0,0,0,0,0.0,0.0,0.0,0.0,case_00134,474
90,6,39,0,13.333333333333334,86.66666666666667,0.0,33.333333333333336,case_00086,413
1201,8,152,4,4.878048780487805,92.6829268292683,2.4390243902439024,12.014652014652015,case_00194,172
0,0,259,0,0.0,100.0,0.0,100.0,case_00194,47
