gt_to_pred_mean,gt_to_pred_std,gt_to_pred_max,pred_to_gt_mean,pred_to_gt_std,pred_to_gt_max,gt_boundary_length,pred_boundary_length,case_id,slice_idx
0.9882565388028012,0.847504730223257,3.0,0.9395953558280885,0.7692443295161353,2.8284271247461903,59,59,case_00154,323
0.5344887651767585,0.585570822762928,2.0,0.6555316695470896,0.6416709786603658,2.8284271247461903,164,140,case_00079,379
0.6262451282251473,0.581647224075709,2.23606797749979,0.7167422917561033,0.6314906865569825,2.8284271247461903,160,141,case_00079,409
1.3461837815767739,1.1503836084361774,4.123105625617661,1.1743844256457459,0.9559940737664506,3.605551275463989,58,59,case_00154,339
0.6086022299544745,0.7212146624799255,3.0,0.7034654833316241,0.905219325935278,5.0,210,201,case_00102,384
0.5514705882352942,0.5533301979455644,2.0,0.6331750685401997,0.5671595699099186,2.0,155,136,case_00079,415
0.9781197389230382,0.7228059511347387,3.0,1.0838360949803778,0.7614753927495884,3.0,110,96,case_00134,336
1.0950540200304242,1.0029879851440955,4.0,1.2753744839012513,1.1036210904589694,5.385164807134504,193,156,case_00113,395
0.8315711429030193,0.8202624699218442,3.1622776601683795,0.8849962779288104,0.8039645843200335,3.1622776601683795,142,129,case_00079,429
0.5567512789738117,0.5632945416331959,2.0,0.6495893897285501,0.6382020976422882,2.8284271247461903,123,110,case_00079,439
0.6492276308425848,0.6754267725498769,2.0,0.7579034569912714,0.7075184449049227,2.23606797749979,160,139,case_00079,376
0.6408746807614213,0.598757390592981,2.0,0.6749925725972303,0.6065595096140843,2.0,68,65,case_00115,322
0.8431372549019608,0.6377825869525723,2.0,1.2357979471859593,1.0237899684429388,5.0,73,51,case_00079,461
1.094019153097813,0.8497299639144563,3.0,1.0078752766503913,0.7049879002773095,2.8284271247461903,39,37,case_00086,413
0.7290790557990391,0.6010830834854067,2.0,0.740871771525468,0.5596230728570403,1.4142135623730951,29,28,case_00194,172
0.9979828953317169,1.4871372870171216,5.385164807134504,0.5824483498974493,0.7620721223753947,3.0,50,53,case_00133,172
4.30773615277271,5.637614296170028,16.0,0.7850956369491844,0.5463684268555706,2.0,47,56,case_00161,127
1.1192598798337974,1.1037323331903972,4.0,1.288441514080842,1.207037589053801,5.656854249492381,188,155,case_00113,402
0.7931190208286332,0.43101860007967757,1.4142135623730951,0.75,0.4330127018922193,1.0,24,27,case_00203,416
0.8458700050181893,0.7421645925511507,3.605551275463989,0.8935382328010185,0.8091442556941455,4.242640687119285,192,184,case_00102,322
0.6698113207547169,0.6100061569934796,3.0,0.8087741225665943,0.676014444947552,3.1622776601683795,126,106,case_00134,342
0.45044417382415924,0.6251800110911022,2.0,0.4926468767748367,0.5977449747208243,2.0,35,32,case_00075,343
0.7941176470588235,0.8838223059598072,3.0,0.8284735531428636,0.8494270472412234,3.0,76,68,case_00161,156
0.5806451612903226,0.6234241319383127,2.0,0.6989371534018698,0.6560531796382135,2.8284271247461903,148,124,case_00079,361
0.5788252421852338,0.6578894146179495,2.0,0.6835634143213648,0.7078100217256651,2.23606797749979,63,56,case_00154,333
0.9234066857533136,0.713043619855891,3.0,0.8826176824187131,0.61898965164531,2.0,37,36,case_00075,348
0.8254938763382076,0.7785509356969043,3.0,1.09628968079745,0.9704322126592712,4.0,195,153,case_00113,390
0.6126007977866527,0.5213243578431459,1.4142135623730951,0.5625,0.49607837082461076,1.0,16,17,case_00014,170
0.9009566649169903,0.791753483838072,3.605551275463989,0.9899422538210619,0.8479027451792284,3.605551275463989,186,171,case_00102,399
0.6076035364446142,0.6509032841806387,2.23606797749979,0.7042776558231457,0.6742479272929743,2.8284271247461903,162,140,case_00079,381
0.7334119252118835,0.7055644787482461,2.0,0.7392204020019555,0.6990285520365482,2.23606797749979,57,56,case_00086,397
1.036056138371238,0.8767513566007032,3.1622776601683795,1.0604577284491354,0.9532904801296578,4.0,60,57,case_00154,338
0.868421052631579,0.6755525080522862,3.0,0.9151168051056894,0.6984715010882211,3.1622776601683795,83,76,case_00161,149
0.4724438258837925,0.5901062640006935,2.0,0.5839714932882635,0.6831322000308458,2.8284271247461903,78,70,case_00133,156
0.6715247841139085,0.6069907118174568,2.23606797749979,1.1435951061962468,2.4022118153137564,19.235384061671343,255,227,case_00102,358
1.3072563584013217,0.8276594754841567,3.605551275463989,1.1271975303602024,0.6190895584614671,2.23606797749979,26,33,case_00194,174
0.9785799826017082,0.926156484097507,3.0,0.9479579262180693,0.9205474002744692,3.0,63,65,case_00154,327
0.7586047252170866,0.8385746212880953,4.0,1.6418646902034888,2.057285602836381,9.219544457292887,167,122,case_00102,300
0.6786389230897535,0.6831705053208217,2.23606797749979,0.812982640143824,0.7525503000447911,3.0,132,110,case_00079,350
1.1096119998381277,1.1054404641983995,4.0,1.331514580660964,1.172517033656454,4.242640687119285,176,139,case_00113,418
1.1515228816828318,0.7287920897647864,2.0,1.017973384231058,0.6388854619112967,2.0,27,28,case_00075,334
0.8369658192603574,0.7583727599478138,4.0,1.635998062415694,2.1787564635652137,10.198039027185569,196,156,case_00102,308
1.412077855884194,0.9341856322959398,3.1622776601683795,1.0886747554372116,0.7362472438973574,2.23606797749979,22,30,case_00203,404
0.6527193705326928,0.5795361811277768,2.0,0.9117189273106362,0.8993156273431162,4.123105625617661,50,42,case_00086,384
1.1746213571155135,0.7135499676245513,2.23606797749979,1.0446278254943948,0.7014884457610016,3.0,24,27,case_00014,174
0.9566467770356095,0.9864708897518499,4.47213595499958,0.9765108195175702,0.986857517203723,4.47213595499958,193,188,case_00102,323
1.261647966749851,0.6389400660437304,2.23606797749979,1.1866128610257949,0.6193678912527226,2.23606797749979,24,27,case_00194,163
1.263157894736842,1.0178462950428273,3.0,0.8571428571428571,0.8329931278350429,2.0,14,19,case_00161,125
0.6285688969253718,0.5994056278767342,2.0,1.1493053440741343,1.3800178762460624,5.830951894845301,71,57,case_00134,327
1.479904345527339,0.5397820018959323,2.8284271247461903,1.3446461113496087,0.43809455056229163,2.23606797749979,20,27,case_00203,420
0.9693358038011219,0.5954038516234643,2.23606797749979,0.8921565886933026,0.5484804598155859,2.0,31,34,case_00033,180
0.7331367285275603,0.6487248034546234,2.23606797749979,0.8959024246419627,0.7888972338148058,3.0,80,72,case_00133,144
1.217403304118582,1.055440990859927,4.0,1.5771359677868246,1.310238059196182,5.0,196,151,case_00113,374
0.7848348159695614,0.7312449952983433,3.0,1.1374844363405203,1.2178063203999911,6.4031242374328485,260,219,case_00102,336
1.4976540137910714,1.3691893637474046,3.1622776601683795,0.8142696805273544,0.7840552691944987,2.8284271247461903,18,17,case_00033,198
0.6739234573167227,0.6094329897758348,2.23606797749979,0.7159702174352625,0.6566634392630704,2.8284271247461903,89,86,case_00115,330
0.3611111111111111,0.5084168116034201,2.0,0.5341229756873942,0.5899542187120767,2.0,90,72,case_00161,147
1.011361836391221,1.1043421020298103,4.47213595499958,0.7279804172816721,0.7561345299010223,3.0,59,66,case_00102,418
2.049154645291571,1.6593210033206138,6.0,1.4263959942989537,0.9351392284247346,4.0,33,42,case_00113,321
1.1503183881083519,0.9921995331948664,4.47213595499958,1.5036780710106485,1.3023890417331734,5.0,117,91,case_00134,338
1.203210595928635,0.9629560020297182,3.1622776601683795,1.059148346584763,0.8235318936912904,2.8284271247461903,25,24,case_00125,178
0.16666666666666666,0.37267799624996495,1.0,1.302880251124337,1.2257663118352473,4.242640687119285,15,6,case_00133,180
1.8317117231966322,1.722618009967768,6.0,1.6350913919817545,1.353339072412259,5.656854249492381,99,93,case_00113,346
0.7098764982857724,0.709526812994407,3.0,0.7779242685005688,0.6918849616950713,2.8284271247461903,155,136,case_00079,420
0.9307603651791678,0.8579596617357711,3.605551275463989,0.9906050290217853,0.8278697621869122,3.1622776601683795,93,83,case_00079,337
0.8132936127819297,0.7671724052702344,3.1622776601683795,0.6714243271984175,0.542482637567175,2.0,51,52,case_00102,420
1.03125,0.7699178121721825,2.0,1.0241330331619505,0.7012075804831575,2.23606797749979,37,32,case_00161,167
1.319014058598773,0.7553454446840856,2.23606797749979,1.195480139988444,0.7850361649935345,2.23606797749979,22,29,case_00014,173
0.7975562049832966,0.6453957536581802,2.23606797749979,0.7823137384567856,0.6436621816570026,2.8284271247461903,38,38,case_00033,187
0.5243872397312364,0.544469093921433,2.0,0.5931679779810363,0.5440133197231973,2.0,159,140,case_00079,413
0.7464334721804432,0.7939377000802063,5.830951894845301,0.914334522225055,1.0505012237155746,10.0,182,160,case_00102,307
0.7145264462375478,0.7277726036697634,3.1622776601683795,0.8165559594131508,0.9128178159670574,5.0,206,199,case_00102,386
0.819438209655274,0.6035191018279744,2.23606797749979,0.9038122143810073,0.6377507080417469,3.0,161,140,case_00079,388
