kidney_dice,kidney_jaccard,kidney_hd95,kidney_asd,tumor_dice,tumor_jaccard,tumor_hd95,tumor_asd
0.9772226304188097,0.9554597701149425,1.0,0.32098765432098764,1.0,1.0,0.0,0.0
0.0,0.0,inf,inf,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,inf,inf,1.0,1.0,0.0,0.0
0.9429241594996091,0.8920118343195266,2.0,0.7919026754380465,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9302068965517242,0.8695203713254255,3.0,0.8540567811058749,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9071803852889667,0.8301282051282052,4.815247584249849,0.5073966707566624,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,inf,inf
0.9126760563380282,0.8393782383419689,28.44526903729671,0.37609944567401205,0.899505766062603,0.8173652694610778,2.3249218495867447,0.9882565388028012
1.0,1.0,0.0,0.0,0.0,0.0,inf,inf
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,inf,inf,0.0,0.0,inf,inf
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,inf,inf,0.0,0.0,inf,inf
0.9221453287197232,0.85553772070626,2.23606797749979,0.6731670744554182,0.9705973382853605,0.9428743235117258,1.4142135623730951,0.5344887651767585
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9436997319034852,0.8934010152284264,1.0,0.4074074074074074,0.9640427599611273,0.9305816135084428,1.4142135623730951,0.6262451282251473
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.9216152019002375,0.8546255506607929,2.0,0.6208950781532715,0.8438061041292639,0.7298136645962733,3.1622776601683795,1.3461837815767739
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.8412017167381974,0.725925925925926,1.8828427124746174,0.6772875272403358,0.978620166793025,0.9581353919239906,2.23606797749979,0.6086022299544745
0.0,0.0,inf,inf,0.0,0.0,inf,inf
